POINT (-102.362 45.6497)
POINT (-82.1597 39.0117)
POINT (-109.52 38.4312)
POINT (-89.0647 36.9631)
POINT (-95.0487 42.1066)
POINT (-100.301 45.5564)
POINT (-90.1625 45.8093)
POINT (-106.478 42.7523)
POINT (-87.2519 33.6209)
POINT (-95.1536 41.6637)
POINT (-89.2029 33.6489)
POINT (-89.3019 45.1222)
POINT (-92.2279 34.7661)
POINT (-115.837 43.9488)
POINT (-83.4226 38.3458)
POINT (-103.154 43.8316)
POINT (-88.2424 39.846)
POINT (-90.6778 43.2957)
POINT (-102.283 40.2625)
POINT (-83.3638 34.6724)
POINT (-112.761 43.7786)
POINT (-104.173 40.0937)
POINT (-116.456 35.4393)
POINT (-112.629 35.7794)
POINT (-97.0844 34.0247)
POINT (-92.9832 38.5566)
POINT (-89.9142 35.23)
POINT (-87.1414 43.8745)
POINT (-93.8026 35.8817)
POINT (-98.9464 34.166)
POINT (-78.138 35.5305)
POINT (-94.441 39.7107)
POINT (-113.085 39.8526)
POINT (-88.0251 41.2605)
POINT (-107.63 35.0013)
POINT (-111.362 42.8785)
POINT (-82.6474 38.9862)
POINT (-110.958 36.0049)
POINT (-108.469 43.6476)
POINT (-84.3159 36.7534)
POINT (-94.2088 36.7427)
POINT (-110.517 44.1499)
POINT (-105.63 45.418)
POINT (-93.7049 42.1273)
POINT (-112.425 45.1969)
POINT (-89.6409 34.207)
POINT (-89.099 45.5401)
POINT (-82.1345 34.6832)
POINT (-81.3224 37.456)
POINT (-110.858 35.4138)
POINT (-98.4143 42.8683)
POINT (-78.6884 45.0039)
POINT (-116.382 35.8929)
POINT (-94.9702 43.5689)
POINT (-87.5577 45.0007)
POINT (-113.197 41.2133)
POINT (-109.188 37.6051)
POINT (-87.3267 36.282)
POINT (-95.4362 35.2308)
POINT (-110.385 37.1921)
POINT (-114.279 43.297)
POINT (-107.123 43.1239)
POINT (-105.257 43.2788)
POINT (-104.912 37.7031)
POINT (-115.948 34.5727)
POINT (-90.4532 35.7939)
POINT (-100.3 38.3526)
POINT (-111.264 35.2927)
POINT (-78.7741 42.3905)
POINT (-110.576 44.5255)
POINT (-96.6662 45.358)
POINT (-91.8616 35.8046)
POINT (-89.8092 39.6333)
POINT (-79.2847 43.5932)
POINT (-114.565 43.8779)
POINT (-113.782 39.8118)
POINT (-88.3925 45.2591)
POINT (-88.1845 34.3251)
POINT (-78.3533 34.1227)
POINT (-100.893 36.1964)
POINT (-111.076 42.8484)
POINT (-90.3103 38.3509)
POINT (-116.767 34.4728)
POINT (-112.483 34.1252)
POINT (-94.2042 34.8764)
POINT (-110.191 35.8946)
POINT (-79.2142 45.2641)
POINT (-109.926 41.9672)
POINT (-95.133 41.889)
POINT (-90.9905 34.4308)
POINT (-91.038 36.3054)
POINT (-92.6368 45.0977)
POINT (-86.0519 45.1086)
POINT (-98.446 33.7715)
POINT (-79.0914 41.2495)
POINT (-104.635 43.4434)
POINT (-109.852 43.0596)
POINT (-78.0889 45.3487)
POINT (-81.431 39.7705)
POINT (-81.6665 35.512)
POINT (-111.221 44.0534)
POINT (-111.196 39.2625)
POINT (-95.275 36.6489)
POINT (-113.938 42.7278)
POINT (-90.7835 42.403)
POINT (-101.025 33.6439)
POINT (-102.792 35.972)
POINT (-106.403 35.9998)
POINT (-83.0737 34.9065)
POINT (-110.627 33.7127)
POINT (-95.5412 35.5886)
POINT (-109.473 37.4647)
POINT (-87.1323 44.5748)
POINT (-105.951 45.5893)
POINT (-83.9926 41.3797)
POINT (-114.893 33.8342)
POINT (-114.404 38.4761)
POINT (-83.6378 41.924)
POINT (-93.2267 40.2987)
POINT (-82.5987 42.3627)
POINT (-103.379 36.6)
POINT (-91.0248 39.0477)
POINT (-98.7645 36.0831)
POINT (-95.7709 39.6711)
POINT (-102.38 37.731)
POINT (-80.8085 38.3825)
POINT (-96.2957 39.2036)
POINT (-103.072 37.3851)
POINT (-101.107 45.186)
POINT (-93.7473 43.7291)
POINT (-84.4825 35.3904)
POINT (-106.466 43.9254)
POINT (-115.248 37.0967)
POINT (-89.1793 44.0481)
POINT (-102.87 36.0496)
POINT (-91.4587 35.1805)
POINT (-116.572 41.9773)
POINT (-86.728 33.736)
POINT (-107.617 38.9434)
POINT (-106.698 33.8074)
POINT (-116.507 44.4665)
POINT (-115.719 35.1299)
POINT (-96.8886 35.6577)
POINT (-107.873 44.7544)
POINT (-98.9218 36.6324)
POINT (-114.703 45.0301)
POINT (-114.532 45.1132)
POINT (-95.8875 42.242)
POINT (-103.048 45.2803)
POINT (-112.332 35.8876)
POINT (-89.4955 36.0152)
POINT (-98.5234 36.4019)
POINT (-113.574 43.0041)
POINT (-116.544 33.2064)
POINT (-86.2764 39.1188)
